"region","sector","fuel","year","multiplier","GCAM_region_ID","value","supplysector","subsector","stub.technology","minicam.energy.input","calibration","secondary.output"
"JX","industry_energy","refined liquids",2010,0.0169009037111495,11,0.0344736196207384,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JX","industry_energy","refined liquids",2015,0.0166783921565594,11,0.011871046078789,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"LN","chp_elec","biomass",1975,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"LN","chp_elec","biomass",1990,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"LN","chp_elec","biomass",2005,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"LN","chp_elec","biomass",2010,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"LN","chp_elec","biomass",2015,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"LN","chp_elec","coal",1975,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"LN","chp_elec","coal",1990,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"LN","chp_elec","coal",2005,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"LN","chp_elec","coal",2010,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"LN","chp_elec","coal",2015,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"LN","chp_elec","gas",1975,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"LN","chp_elec","gas",1990,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"LN","chp_elec","gas",2005,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"LN","chp_elec","gas",2010,NA,NA,4.47999591348249e-05,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"LN","chp_elec","gas",2015,NA,NA,7.44958549838429e-05,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"LN","chp_elec","refined liquids",1975,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"LN","chp_elec","refined liquids",1990,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"LN","chp_elec","refined liquids",2005,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"LN","chp_elec","refined liquids",2010,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"LN","chp_elec","refined liquids",2015,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"LN","industry_energy","biomass",1975,0.0831132727059142,11,1.63883739734567e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"LN","industry_energy","biomass",1990,0.0759592133901573,11,1.62052712187989e-05,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"LN","industry_energy","biomass",2005,0.0416077901412576,11,8.79064210266237e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"LN","industry_energy","biomass",2010,0.0562862984336771,11,9.70032320405146e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"LN","industry_energy","biomass",2015,0.0529303068448621,11,1.61993152184832e-05,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"LN","industry_energy","coal",1975,0.0831132727059142,11,0.395228668897238,"other industrial energy use","coal","coal","delivered coal","input",NA
"LN","industry_energy","coal",1990,0.0759592133901573,11,0.593717594867819,"other industrial energy use","coal","coal","delivered coal","input",NA
"LN","industry_energy","coal",2005,0.0416077901412576,11,0.779376182629119,"other industrial energy use","coal","coal","delivered coal","input",NA
"LN","industry_energy","coal",2010,0.0562862984336771,11,0.854387637611024,"other industrial energy use","coal","coal","delivered coal","input",NA
"LN","industry_energy","coal",2015,0.0529303068448621,11,0.227599332953723,"other industrial energy use","coal","coal","delivered coal","input",NA
"LN","industry_energy","electricity",1975,0.0878636839214504,11,0.0524624158892802,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"LN","industry_energy","electricity",1990,0.0748698555056321,11,0.116176581047398,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"LN","industry_energy","electricity",2005,0.043834023032113,11,0.218516421292963,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"LN","industry_energy","electricity",2010,0.040936779300909,11,0.137453947389856,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"LN","industry_energy","electricity",2015,0.0373579640389748,11,0.200680308252495,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"LN","industry_energy","gas",1975,0.0921681859963257,11,0.0249812799899557,"other industrial energy use","gas","gas","wholesale gas","input",NA
"LN","industry_energy","gas",1990,0.100102989511478,11,0.0137820458779976,"other industrial energy use","gas","gas","wholesale gas","input",NA
"LN","industry_energy","gas",2005,0.123118066361942,11,0.052439893054036,"other industrial energy use","gas","gas","wholesale gas","input",NA
"LN","industry_energy","gas",2010,0.0338163942744753,11,0.0324669125180779,"other industrial energy use","gas","gas","wholesale gas","input",NA
"LN","industry_energy","gas",2015,0.0512210224036324,11,0.0132271600215561,"other industrial energy use","gas","gas","wholesale gas","input",NA
"LN","industry_energy","heat",1975,0.0785951167100806,11,0,"other industrial energy use","district heat","district heat","district heat","input",NA
"LN","industry_energy","heat",1990,0.246560493650714,11,0.128558544041698,"other industrial energy use","district heat","district heat","district heat","input",NA
"LN","industry_energy","heat",2005,0.0987270376379647,11,0.166355116120046,"other industrial energy use","district heat","district heat","district heat","input",NA
"LN","industry_energy","heat",2010,0.0644621712294593,11,0.141148933620663,"other industrial energy use","district heat","district heat","district heat","input",NA
"LN","industry_energy","heat",2015,0.0603999515025375,11,0.164727454504727,"other industrial energy use","district heat","district heat","district heat","input",NA
"LN","industry_energy","refined liquids",1975,0.133379729401991,11,0.202514032591816,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"LN","industry_energy","refined liquids",1990,0.0958144697677556,11,0.162423885358318,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"LN","industry_energy","refined liquids",2005,0.0589388057978062,11,0.16365078003826,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"LN","industry_energy","refined liquids",2010,0.09222468750148,11,0.240497425059859,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"LN","industry_energy","refined liquids",2015,0.0984597916144478,11,0.187850820630654,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
