# File: province_decile_gdp_per_capita_projections.csv
# Title: province-level decile of gdp per capita projections under scenarios
# Units: NA
# Comments: note the pop and gdp are not updated so leave them as blank
# Source: https://github.com/JGCRI/pridr, China Statistical Yearbook
# Column types: ccicnccnnn
# ----------
province_code,province,year,sce,shares,category,gcam.consumer,decile_pop,decile_gdp,decile_gdp_pc
AH,Anhui,2045,SSP1,0.058758286,d2,resid_urban,,,
AH,Anhui,2045,SSP5,0.062261575,d2,resid_urban,,,
AH,Anhui,2045,SSP4,0.054349632,d3,resid_urban,,,
AH,Anhui,2045,SSP3,0.055651989,d3,resid_urban,,,
AH,Anhui,2045,SSP2,0.061534913,d3,resid_urban,,,
AH,Anhui,2045,SSP1,0.068430547,d3,resid_urban,,,
AH,Anhui,2045,SSP5,0.071958886,d3,resid_urban,,,
AH,Anhui,2045,SSP4,0.062952142,d4,resid_urban,,,
AH,Anhui,2045,SSP3,0.064189639,d4,resid_urban,,,
AH,Anhui,2045,SSP2,0.06979438,d4,resid_urban,,,
AH,Anhui,2045,SSP1,0.076317088,d4,resid_urban,,,
AH,Anhui,2045,SSP5,0.07964498,d4,resid_urban,,,
AH,Anhui,2045,SSP4,0.071742547,d5,resid_urban,,,
AH,Anhui,2045,SSP3,0.07285011,d5,resid_urban,,,
AH,Anhui,2045,SSP2,0.077883982,d5,resid_urban,,,
AH,Anhui,2045,SSP1,0.083686675,d5,resid_urban,,,
AH,Anhui,2045,SSP5,0.086635694,d5,resid_urban,,,
AH,Anhui,2045,SSP4,0.081749511,d6,resid_urban,,,
AH,Anhui,2045,SSP3,0.082657384,d6,resid_urban,,,
AH,Anhui,2045,SSP2,0.086806089,d6,resid_urban,,,
AH,Anhui,2045,SSP1,0.091517857,d6,resid_urban,,,
AH,Anhui,2045,SSP5,0.093897705,d6,resid_urban,,,
AH,Anhui,2045,SSP4,0.094441265,d7,resid_urban,,,
AH,Anhui,2045,SSP3,0.095036857,d7,resid_urban,,,
AH,Anhui,2045,SSP2,0.097791337,d7,resid_urban,,,
AH,Anhui,2045,SSP1,0.100816977,d7,resid_urban,,,
AH,Anhui,2045,SSP5,0.102323407,d7,resid_urban,,,
AH,Anhui,2045,SSP4,0.112443181,d8,resid_urban,,,
AH,Anhui,2045,SSP3,0.112524292,d8,resid_urban,,,
AH,Anhui,2045,SSP2,0.112968948,d8,resid_urban,,,
AH,Anhui,2045,SSP1,0.113242317,d8,resid_urban,,,
AH,Anhui,2045,SSP5,0.113331259,d8,resid_urban,,,
AH,Anhui,2045,SSP5,0.1327184,d9,resid_urban,,,
AH,Anhui,2045,SSP1,0.135234507,d9,resid_urban,,,
AH,Anhui,2045,SSP2,0.140064334,d9,resid_urban,,,
AH,Anhui,2045,SSP3,0.143998893,d9,resid_urban,,,
AH,Anhui,2045,SSP4,0.144885162,d9,resid_urban,,,
AH,Anhui,2050,SSP4,0.029377518,d1,resid_urban,,,
AH,Anhui,2050,SSP3,0.030339445,d1,resid_urban,,,
AH,Anhui,2050,SSP2,0.036351226,d1,resid_urban,,,
AH,Anhui,2050,SSP1,0.043052834,d1,resid_urban,,,
AH,Anhui,2050,SSP5,0.04667939,d1,resid_urban,,,
AH,Anhui,2050,SSP5,0.19663995,d10,resid_urban,,,
AH,Anhui,2050,SSP1,0.218752309,d10,resid_urban,,,
AH,Anhui,2050,SSP2,0.260282582,d10,resid_urban,,,
AH,Anhui,2050,SSP3,0.299316688,d10,resid_urban,,,
AH,Anhui,2050,SSP4,0.305480445,d10,resid_urban,,,
AH,Anhui,2050,SSP4,0.044658504,d2,resid_urban,,,
AH,Anhui,2050,SSP3,0.045847503,d2,resid_urban,,,
AH,Anhui,2050,SSP2,0.053299362,d2,resid_urban,,,
AH,Anhui,2050,SSP1,0.061525244,d2,resid_urban,,,
AH,Anhui,2050,SSP5,0.065961874,d2,resid_urban,,,
AH,Anhui,2050,SSP4,0.054146905,d3,resid_urban,,,
AH,Anhui,2050,SSP3,0.055351541,d3,resid_urban,,,
AH,Anhui,2050,SSP2,0.06291789,d3,resid_urban,,,
AH,Anhui,2050,SSP1,0.071206508,d3,resid_urban,,,
AH,Anhui,2050,SSP5,0.075665252,d3,resid_urban,,,
AH,Anhui,2050,SSP4,0.062758864,d4,resid_urban,,,
AH,Anhui,2050,SSP3,0.063902456,d4,resid_urban,,,
AH,Anhui,2050,SSP2,0.071102378,d4,resid_urban,,,
AH,Anhui,2050,SSP1,0.078924172,d4,resid_urban,,,
AH,Anhui,2050,SSP5,0.083119655,d4,resid_urban,,,
AH,Anhui,2050,SSP4,0.071568793,d5,resid_urban,,,
AH,Anhui,2050,SSP3,0.07259106,d5,resid_urban,,,
AH,Anhui,2050,SSP2,0.079047372,d5,resid_urban,,,
AH,Anhui,2050,SSP1,0.085983545,d5,resid_urban,,,
AH,Anhui,2050,SSP5,0.089689438,d5,resid_urban,,,
